"","LR","pval_PAAD.US","pval_PACA.AU","pval_PACA.CA","hr_PAAD.US","hr_PACA.AU","hr_PACA.CA","median_day_low_PAAD.US","median_day_low_PACA.AU","median_day_low_PACA.CA","median_day_high_PAAD.US","median_day_high_PACA.AU","median_day_high_PACA.CA","diff_day_PAAD.US","diff_day_PACA.AU","diff_day_PACA.CA","meta_pval","meta_qval_BH","meta_qval_holm","meta_qval_storey"
"1","IL20->IL20RB",0.00169279631567376,0.00529285642647903,0.0109189224643587,0.353203637005493,0.388721438457189,0.673716700692898,164,546,629.5,194,332,444,30,-214,-185.5,9.56622991654469e-07,0.00045043785842128,0.00171522502403646,0.000233338791107498
"2","IL26->IL20RB",0.00169279631567376,0.00529285642647903,0.0109189224643587,0.353203637005493,0.388721438457189,0.673716700692898,164,546,629.5,194,332,444,30,-214,-185.5,9.56622991654469e-07,0.00045043785842128,0.00171522502403646,0.000233338791107498
"3","IL19->IL20RB",0.00220496417005478,0.0392794196419509,0.00647614231970506,0.375763485431058,0.496609797945247,0.65538497818845,165.5,499,629.5,194,337.5,456,28.5,-161.5,-173.5,1.83865634899502e-05,0.00329854949009706,0.0328200158295611,0.00170873636848625
"4","IL24->IL20RB",0.00234200545937235,0.0115094100114662,0.00434592396169897,0.393459261091906,0.444297219391024,0.648498066659649,173,519.5,629.5,188,332,444,15,-187.5,-185.5,1.0043207545625e-06,0.00045043785842128,0.00179873847142143,0.000233338791107498
"5","SEMA4B->DCBLD2",0.00587932348178821,0.000726754903498272,0.000583040788063482,0.506918155767172,0.297848398648767,0.499288367801551,231,547.5,643,181,332,383,-50,-215.5,-260,6.19263949711289e-08,0.000111095952578205,0.000111095952578205,5.75506582914471e-05
"6","DSC3->DSG4",0.00850173623717854,0.0292817048368389,0.0125814600336565,0.435142615739097,0.423907819514166,0.552216947722096,247.5,446,642,164,388,456,-83.5,-58,-186,2.12927966363204e-05,0.00347266156050534,0.0379863491991956,0.00179893105187429
"7","DSC3->DSG1",0.014697813458813,0.0292817048368389,0.0174971835833473,0.485423086856269,0.423907819514166,0.58869003175413,249,446,642,160,388,456,-89,-58,-186,3.87240195299899e-05,0.00404171834582093,0.0689287547633819,0.00209371760206002
"8","DSG1->DSC3",0.014697813458813,0.0292817048368389,0.0174971835833473,0.485423086856269,0.423907819514166,0.58869003175413,249,446,642,160,388,456,-89,-58,-186,3.87240195299899e-05,0.00404171834582093,0.0689287547633819,0.00209371760206002
"9","DKK1->KREMEN1",0.0177394093145242,0.00216547514130594,0.0198397707577384,0.469491236833596,0.339072812569407,0.710154883401645,195.5,547.5,617.5,181,343,456,-14.5,-204.5,-161.5,1.04636920819331e-05,0.00246868153309623,0.0187090814424964,0.00127884269448624
"10","AREG->EGFR",0.026291566989747,0.0135174681468345,0.02374764425113,0.614285503233251,0.448102385274962,0.696548150390866,199.5,460,616.5,181,332,455,-18.5,-128,-161.5,4.27890205927883e-05,0.00404171834582093,0.0760360895933847,0.00209371760206002
