CCI,pval,hr,median_day_low,median_day_high,diff_day
TIL->ETC,0.021412959024801892,0.482050043492901,487.5,332,-155.5
TIL->Endo,0.02337393156393397,0.4865364051948593,487.5,337,-150.5
TIL->TAM,0.029675284409698688,0.4894662805552585,519.5,348,-171.5
Endo->ETC,0.0343030444301472,1.9939163964728674,386.5,427,40.5
CAF->CAF,0.03665299621588636,0.520320180761438,470.5,332,-138.5
CAF->ETC,0.03665299621588636,0.520320180761438,470.5,332,-138.5
TIL->CAF,0.07829808416677231,0.5301338272042254,465,342.5,-122.5
TAM->Endo,0.12965780977074903,0.7338857958206149,470.5,348,-122.5
Endo->CAF,0.13408792444147577,1.6662670530776345,413,413,0
CAF->Endo,0.14546260531929112,0.7017003434445871,470.5,351,-119.5
TIL->DC,0.2235312199497358,0.629090492767272,487.5,351,-136.5
Endo->TIL,0.22615446352847313,0.716428083211918,460,388,-72
DC->TIL,0.22615446352847313,0.716428083211918,460,388,-72
ETC->TIL,0.22615446352847313,0.716428083211918,460,388,-72
TAM->ETC,0.2626986230361339,0.7089770329611832,460,337,-123
EMT->TIL,0.3152908442949971,0.7692268709896363,460,351,-109
TIL->TIL,0.3152908442949971,0.7692268709896363,460,351,-109
Endo->DC,0.34245736652212966,1.2648000960279242,403,413,10
EMT->Endo,0.38533943641940693,0.8205425244795923,470.5,351,-119.5
TAM->TIL,0.38629312731276677,0.7856818314935026,460,388,-72
CAF->TIL,0.38629312731276677,0.7856818314935026,460,388,-72
DC->Endo,0.40498059081617344,0.8226666820492821,460,388,-72
CAF->TAM,0.47261295787496227,0.8508717002627241,434.5,400,-34.5
TAM->CAF,0.478748630650621,0.7923135242741864,460,337,-123
DC->CAF,0.4999255109917602,0.7648252353571411,453,361,-92
ETC->Endo,0.5172534205704733,0.85874463760062,434.5,400,-34.5
Endo->TAM,0.5258074129669372,0.8684398572934495,434.5,400,-34.5
ETC->TAM,0.5258074129669372,0.8684398572934495,434.5,400,-34.5
Endo->Endo,0.6532101970132205,0.9275011384004624,460,400,-60
DC->ETC,0.6755230837652865,0.7914572060856864,453,388,-65
CAF->DC,0.6849106020267486,0.8427229119437186,460,400,-60
CAF->EMT,0.6950503795043604,0.883710460136838,460,388,-72
TAM->EMT,0.6950503795043604,0.883710460136838,460,388,-72
EMT->CAF,0.6950503795043604,0.883710460136838,460,388,-72
EMT->TAM,0.6950503795043604,0.883710460136838,460,388,-72
EMT->EMT,0.6950503795043604,0.883710460136838,460,388,-72
ETC->EMT,0.6950503795043604,0.883710460136838,460,388,-72
EMT->ETC,0.6950503795043604,0.883710460136838,460,388,-72
DC->TAM,0.6975423252709135,0.9447285397816799,434.5,400,-34.5
ETC->ETC,0.7201298606017039,0.8616577397295453,470.5,359,-111.5
TAM->TAM,0.7325645732049544,0.9842618558981185,460,388,-72
EMT->DC,0.7493562773234372,1.0745806332965682,434.5,400,-34.5
DC->DC,0.7493562773234372,1.0745806332965682,434.5,400,-34.5
ETC->CAF,0.7573978896305094,0.8496634433317887,460,361,-99
TAM->DC,0.8087759666038822,0.9000371602941003,460,388,-72
ETC->DC,0.8375415078653605,0.9558683691897609,439,400,-39
TIL->EMT,0.8525866358594664,0.9599178066555571,434.5,400,-34.5
Endo->EMT,0.8757185136806234,1.053132287406914,434.5,400,-34.5
DC->EMT,0.9597432782713758,0.9799566325471016,434.5,412,-22.5
